id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
4308,Heart Disease,Fazilka,Fazilka Multicare Hospital,Middle Age,ICU Care,471910,1330,1091,82.03,3.6
4309,Heart Disease,Ludhiana,Ludhiana Life Hospital,Child,Chemotherapy,46545,1854,1802,97.2,2.9
4310,Hypertension,Nawanshahr,Nawanshahr Prime Healthcare,Senior Citizen,Physiotherapy,114895,1355,830,61.25,3.0
4311,Kidney Disease,Sangrur,Sangrur Prime Healthcare,Adult,Radiotherapy,71467,3675,3189,86.78,3.9
4312,Kidney Disease,Bathinda,Bathinda Prime Healthcare,Senior Citizen,Dialysis,102597,3910,2640,67.52,3.8
4313,Diabetes,Malerkotla,Malerkotla Prime Healthcare,Senior Citizen,Chemotherapy,83403,101,92,91.09,5.0
4314,Kidney Disease,Muktsar,Muktsar Prime Healthcare,Teenager,Radiotherapy,234444,705,426,60.43,3.5
4315,Malaria,Khanna,Khanna Health Centre,Teenager,Radiotherapy,339352,2892,2489,86.07,3.7
4316,Heart Disease,Faridkot,Faridkot Prime Hospital,Teenager,Physiotherapy,455247,3760,3279,87.21,4.1
4317,Pneumonia,Ludhiana,Ludhiana Medical Centre,Young Adult,Chemotherapy,183078,4397,3368,76.6,4.3
4318,Diabetes,Muktsar,Muktsar Health Centre,Teenager,Emergency Care,120671,1086,738,67.96,3.9
4319,Pneumonia,Mansa,Mansa City Hospital,Senior Citizen,Physiotherapy,418484,2135,1323,61.97,4.4
4320,Tuberculosis,Bathinda,Bathinda Multicare Hospital,Young Adult,Radiotherapy,481180,3413,3114,91.24,4.0
4321,Liver Disease,Abohar,Abohar Health Centre,Adult,Emergency Care,345388,366,294,80.33,2.8
4322,Kidney Disease,Sangrur,Sangrur Prime Healthcare,Middle Age,Surgery,193578,4832,3761,77.84,4.1
4323,Malaria,Firozpur,Firozpur Prime Medical Centre,Senior Citizen,Emergency Care,127078,4372,3423,78.29,4.6
4324,Liver Disease,Faridkot,Faridkot Prime Hospital,Child,Radiotherapy,151033,4268,3934,92.17,4.8
4325,Typhoid,Gurdaspur,Gurdaspur Prime Healthcare,Senior Citizen,Chemotherapy,113647,1585,1133,71.48,4.1
4326,Pneumonia,Jalandhar,Jalandhar Multicare Centre,Middle Age,Counselling,178169,2935,2855,97.27,3.7
4327,Diabetes,Abohar,Abohar Prime Hospital,Child,Vaccination,472228,1374,1068,77.73,4.2
4328,Liver Disease,Gurdaspur,Gurdaspur Multicare Hospital,Middle Age,Radiotherapy,88707,3504,2664,76.03,2.6
4329,Cancer,Sangrur,Sangrur City Hospital,Middle Age,Counselling,174361,1740,1104,63.45,2.7
4330,Asthma,Abohar,Abohar City Hospital,Teenager,Counselling,273253,287,260,90.59,2.8
4331,Hypertension,Malerkotla,Malerkotla Prime Healthcare,Adult,Physiotherapy,290370,1883,1382,73.39,3.4
4332,Tuberculosis,Kapurthala,Kapurthala City Hospital,Middle Age,Surgery,25023,4480,4067,90.78,2.5
4333,Malaria,Patiala,Patiala Life Care Hospital,Teenager,Chemotherapy,244617,2345,2264,96.55,4.5
4334,Typhoid,Faridkot,Faridkot Prime Hospital,Child,Physiotherapy,338388,3735,3246,86.91,2.9
4335,Tuberculosis,Mansa,Mansa City Hospital,Adult,Dialysis,323847,3584,3501,97.68,4.1
4336,Tuberculosis,Mansa,Mansa Multicare Hospital,Adult,Dialysis,302976,2861,2475,86.51,4.9
4337,Tuberculosis,Amritsar,Amritsar Advanced Hospital,Senior Citizen,Chemotherapy,365882,3218,2204,68.49,3.9
4338,Typhoid,Tarn Taran,Tarn Taran City Hospital,Child,Radiotherapy,274455,3036,2407,79.28,4.7
4339,Liver Disease,Kapurthala,Kapurthala Health Centre,Young Adult,Physiotherapy,366590,2613,1835,70.23,4.3
4340,Heart Disease,Khanna,Khanna Multicare Hospital,Child,Emergency Care,473828,4388,3953,90.09,4.9
4341,Dengue,Mohali,Mohali City Hospital,Senior Citizen,Dialysis,55478,599,515,85.98,4.1
4342,Pneumonia,Mohali,Mohali City Hospital,Young Adult,Emergency Care,159872,2473,1810,73.19,2.9
4343,Arthritis,Hoshiarpur,Hoshiarpur Civil Hospital,Senior Citizen,Physiotherapy,253294,3209,3200,99.72,4.7
4344,Diabetes,Mansa,Mansa Health Centre,Middle Age,ICU Care,79184,2509,2478,98.76,2.6
4345,Cancer,Malerkotla,Malerkotla Multicare Hospital,Teenager,Physiotherapy,384319,800,566,70.75,4.3
4346,Diabetes,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Physiotherapy,310528,1690,1460,86.39,3.1
4347,Liver Disease,Tarn Taran,Tarn Taran City Hospital,Young Adult,Surgery,97289,775,747,96.39,4.8
4348,Tuberculosis,Moga,Moga Health Centre,Adult,Counselling,171191,4825,4058,84.1,2.7
4349,Thyroid Disorder,Amritsar,Amritsar Life Care Centre,Adult,Counselling,483726,2121,1362,64.21,2.8
4350,Thyroid Disorder,Tarn Taran,Tarn Taran Health Centre,Teenager,Dialysis,163590,3381,2044,60.46,2.7
4351,Arthritis,Nawanshahr,Nawanshahr City Hospital,Child,Chemotherapy,424386,2528,2274,89.95,4.9
4352,Arthritis,Pathankot,Pathankot Multicare Hospital,Middle Age,Dialysis,252983,612,418,68.3,3.0
4353,COVID-19,Khanna,Khanna Prime Healthcare,Teenager,Emergency Care,229143,4529,3568,78.78,2.7
4354,Pneumonia,Muktsar,Muktsar Health Centre,Teenager,Surgery,407654,1004,679,67.63,2.6
4355,Thyroid Disorder,Mohali,Mohali City Hospital,Senior Citizen,Chemotherapy,268455,734,554,75.48,2.6
4356,Malaria,Firozpur,Firozpur Life Care Hospital,Young Adult,ICU Care,23019,1383,1367,98.84,4.9
4357,Liver Disease,Ludhiana,Ludhiana City Hospital,Adult,Vaccination,163344,3002,2124,70.75,3.0
4358,Cancer,Rupnagar,Rupnagar City Hospital,Middle Age,Counselling,23926,4253,2866,67.39,2.7
4359,Tuberculosis,Hoshiarpur,Hoshiarpur City Hospital,Adult,ICU Care,386188,1744,1142,65.48,3.6
4360,Arthritis,Bathinda,Bathinda City Hospital,Adult,Vaccination,261406,491,370,75.36,4.9
4361,Thyroid Disorder,Abohar,Abohar City Hospital,Adult,Surgery,10948,1833,1806,98.53,3.9
4362,Liver Disease,Rupnagar,Rupnagar City Hospital,Child,ICU Care,420856,3975,2980,74.97,2.6
4363,Asthma,Amritsar,Amritsar City Hospital,Senior Citizen,Chemotherapy,414847,1351,833,61.66,4.4
4364,Arthritis,Pathankot,Pathankot Multicare Hospital,Young Adult,Counselling,197874,3571,2198,61.55,4.9
4365,Thyroid Disorder,Jalandhar,Jalandhar Health Point,Middle Age,Emergency Care,408673,3251,2656,81.7,2.6
4366,Typhoid,Abohar,Abohar Prime Hospital,Young Adult,Physiotherapy,192750,3812,2598,68.15,3.1
4367,Hypertension,Barnala,Barnala Health Centre,Adult,Medication,442910,1654,1501,90.75,4.9
4368,Hypertension,Fazilka,Fazilka City Hospital,Senior Citizen,Medication,170390,3650,2253,61.73,4.9
4369,Malaria,Rupnagar,Rupnagar Prime Hospital,Teenager,Medication,227573,3318,2935,88.46,2.6
4370,Liver Disease,Moga,Moga Life Care Hospital,Young Adult,Vaccination,484197,4942,4731,95.73,4.6
4371,Cancer,Barnala,Barnala Prime Hospital,Middle Age,Chemotherapy,456567,1171,1094,93.42,3.1
4372,Diabetes,Abohar,Abohar Prime Hospital,Child,Emergency Care,61672,2657,1612,60.67,4.5
4373,Malaria,Rupnagar,Rupnagar Prime Hospital,Child,Radiotherapy,348914,447,411,91.95,3.6
4374,Asthma,Pathankot,Pathankot Health Centre,Young Adult,Chemotherapy,447698,300,282,94.0,4.4
4375,Arthritis,Faridkot,Faridkot Life Care Centre,Adult,Radiotherapy,154586,4487,4112,91.64,3.8
4376,Thyroid Disorder,Hoshiarpur,Hoshiarpur Prime Hospital,Senior Citizen,Physiotherapy,132614,3884,3016,77.65,4.0
4377,Heart Disease,Amritsar,Amritsar Health Plus,Teenager,ICU Care,451126,2712,1916,70.65,4.2
4378,COVID-19,Kapurthala,Kapurthala Multicare Hospital,Young Adult,Dialysis,170866,972,691,71.09,4.1
4379,Arthritis,Patiala,Patiala Advanced Medical Centre,Child,Chemotherapy,486997,2596,1895,73.0,4.4
4380,Typhoid,Pathankot,Pathankot Prime Hospital,Middle Age,ICU Care,481512,1739,1603,92.18,4.3
4381,Thyroid Disorder,Hoshiarpur,Hoshiarpur Multicare Hospital,Middle Age,Chemotherapy,81215,2020,1756,86.93,2.5
4382,Dengue,Gurdaspur,Gurdaspur Health Centre,Young Adult,Emergency Care,195889,4300,3217,74.81,3.5
4383,Dengue,Gurdaspur,Gurdaspur Life Care Hospital,Senior Citizen,Emergency Care,499786,2227,1436,64.48,3.5
4384,Heart Disease,Muktsar,Muktsar City Hospital,Child,Vaccination,124529,915,783,85.57,3.3
4385,Typhoid,Mohali,Mohali Healthcare Point,Adult,Medication,68873,2181,1674,76.75,3.8
4386,Hypertension,Amritsar,Amritsar General Care Hospital,Child,Radiotherapy,137677,701,609,86.88,3.6
4387,COVID-19,Kapurthala,Kapurthala City Hospital,Young Adult,Chemotherapy,373599,3156,2033,64.42,2.7
4388,Hypertension,Kapurthala,Kapurthala Prime Healthcare,Child,Radiotherapy,207747,304,292,96.05,3.0
4389,Hypertension,Barnala,Barnala City Hospital,Middle Age,Counselling,92234,3324,2039,61.34,4.5
4390,COVID-19,Faridkot,Faridkot Multicare Hospital,Senior Citizen,Radiotherapy,203749,2922,2281,78.06,2.9
4391,Asthma,Barnala,Barnala Life Care Centre,Adult,ICU Care,399820,2142,2082,97.2,4.9
4392,Typhoid,Pathankot,Pathankot Prime Hospital,Child,Radiotherapy,428076,273,188,68.86,3.2
4393,Cancer,Khanna,Khanna Multicare Hospital,Senior Citizen,Dialysis,152225,2818,2415,85.7,4.2
4394,Diabetes,Sangrur,Sangrur City Hospital,Teenager,Medication,451288,756,500,66.14,4.0
4395,Heart Disease,Sangrur,Sangrur Health Centre,Adult,Physiotherapy,120629,4331,3368,77.76,4.5
4396,Cancer,Muktsar,Muktsar Multicare Hospital,Teenager,Surgery,346643,3695,2642,71.5,3.5
4397,Kidney Disease,Fazilka,Fazilka Health Centre,Young Adult,Medication,499037,4808,3549,73.81,4.6
4398,Diabetes,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,Chemotherapy,140600,290,273,94.14,4.3
4399,Dengue,Rupnagar,Rupnagar City Hospital,Senior Citizen,Dialysis,22378,4503,2933,65.13,2.7
4400,Malaria,Sangrur,Sangrur Multicare Hospital,Child,Chemotherapy,149228,4372,3909,89.41,3.1
4401,Malaria,Gurdaspur,Gurdaspur Health Centre,Senior Citizen,Emergency Care,431220,3846,2376,61.78,2.5
4402,Arthritis,Sangrur,Sangrur Health Centre,Adult,Counselling,178392,4771,3548,74.37,4.7
4403,Arthritis,Patiala,Patiala Prime Healthcare,Teenager,Counselling,191331,2139,1574,73.59,4.0
4404,Liver Disease,Barnala,Barnala Prime Hospital,Young Adult,Radiotherapy,77450,742,688,92.72,4.6
4405,Malaria,Abohar,Abohar Multicare Hospital,Adult,Physiotherapy,253853,2858,2059,72.04,3.8
4406,Dengue,Amritsar,Amritsar City Hospital,Senior Citizen,Surgery,344927,3710,2645,71.29,3.2
4407,COVID-19,Mansa,Mansa Multicare Hospital,Young Adult,Counselling,101534,1968,1500,76.22,4.2
4408,Kidney Disease,Sangrur,Sangrur Health Centre,Teenager,Physiotherapy,226544,2331,2329,99.91,4.3
4409,COVID-19,Nawanshahr,Nawanshahr Prime Healthcare,Child,Medication,32798,791,701,88.62,2.5
4410,Heart Disease,Kapurthala,Kapurthala City Hospital,Senior Citizen,Counselling,153829,2817,2608,92.58,3.5
4411,Diabetes,Jalandhar,Jalandhar Prime Hospital,Young Adult,Counselling,163196,4632,3356,72.45,2.7
4412,Cancer,Firozpur,Firozpur Health Centre,Senior Citizen,Chemotherapy,169300,2922,2059,70.47,4.5
4413,Cancer,Kapurthala,Kapurthala Health Centre,Teenager,Emergency Care,93595,4431,4316,97.4,3.7
4414,Cancer,Moga,Moga Prime Healthcare,Adult,Counselling,295872,1071,979,91.41,3.0
4415,Thyroid Disorder,Bathinda,Bathinda Prime Healthcare,Young Adult,Vaccination,148612,3788,3728,98.42,3.7
4416,Kidney Disease,Jalandhar,Jalandhar Life Care Hospital,Middle Age,Physiotherapy,468224,580,561,96.72,3.8
4417,Cancer,Mansa,Mansa City Hospital,Middle Age,Counselling,150539,647,389,60.12,3.7
4418,Hypertension,Rupnagar,Rupnagar City Hospital,Adult,Surgery,44880,2513,2462,97.97,3.5
4419,COVID-19,Gurdaspur,Gurdaspur Prime Healthcare,Senior Citizen,Surgery,59038,4822,4646,96.35,3.8
4420,Tuberculosis,Ludhiana,Ludhiana Advanced Medical Centre,Young Adult,Physiotherapy,388492,2523,2407,95.4,4.8
4421,Malaria,Hoshiarpur,Hoshiarpur Life Care Centre,Senior Citizen,ICU Care,485901,4527,4473,98.81,4.1
4422,Asthma,Faridkot,Faridkot Health Centre,Adult,Emergency Care,158297,4633,4160,89.79,4.6
4423,Typhoid,Malerkotla,Malerkotla Prime Healthcare,Child,Medication,250763,4640,3931,84.72,4.7
4424,Tuberculosis,Tarn Taran,Tarn Taran Health Centre,Teenager,Physiotherapy,180287,826,575,69.61,2.7
4425,Kidney Disease,Tarn Taran,Tarn Taran City Hospital,Teenager,Physiotherapy,217954,4007,3574,89.19,4.9
4426,Cancer,Ludhiana,Ludhiana Healthcare Centre,Adult,Vaccination,386688,209,143,68.42,3.9
4427,Kidney Disease,Moga,Moga Health Centre,Teenager,Counselling,343997,3007,2744,91.25,2.7
4428,Arthritis,Firozpur,Firozpur Prime Medical Centre,Senior Citizen,ICU Care,75043,938,929,99.04,2.5
4429,Cancer,Amritsar,Amritsar Prime Healthcare,Senior Citizen,Emergency Care,10046,4913,4673,95.12,5.0
4430,Arthritis,Mansa,Mansa City Hospital,Teenager,Emergency Care,277727,547,463,84.64,4.1
4431,Thyroid Disorder,Malerkotla,Malerkotla Prime Healthcare,Senior Citizen,Vaccination,398981,4801,3340,69.57,2.9
4432,Liver Disease,Muktsar,Muktsar City Hospital,Middle Age,Chemotherapy,148110,4183,3064,73.25,4.0
4433,Typhoid,Khanna,Khanna Prime Healthcare,Senior Citizen,Radiotherapy,288548,3656,3031,82.9,4.8
4434,Tuberculosis,Mohali,Mohali Multicare Hospital,Child,Emergency Care,423614,2396,2126,88.73,4.7
4435,Tuberculosis,Faridkot,Faridkot Prime Hospital,Adult,Physiotherapy,228907,3907,3153,80.7,3.4
4436,Arthritis,Gurdaspur,Gurdaspur City Hospital,Middle Age,ICU Care,88969,4163,2707,65.03,3.6
4437,Typhoid,Rupnagar,Rupnagar Multicare Hospital,Adult,Counselling,188513,78,48,61.54,3.0
4438,Arthritis,Faridkot,Faridkot Health Centre,Teenager,Medication,102466,3633,2546,70.08,3.5
4439,Asthma,Pathankot,Pathankot City Hospital,Teenager,Vaccination,352761,2144,1639,76.45,2.9
4440,Asthma,Moga,Moga Prime Healthcare,Teenager,Medication,325752,320,310,96.88,4.4
4441,COVID-19,Gurdaspur,Gurdaspur City Hospital,Adult,Chemotherapy,180642,758,675,89.05,3.8
4442,Heart Disease,Bathinda,Bathinda Medical Point,Young Adult,Emergency Care,214564,3970,3135,78.97,2.8
4443,Asthma,Faridkot,Faridkot Life Care Centre,Adult,Counselling,316193,252,158,62.7,4.3
4444,Dengue,Moga,Moga Health Centre,Senior Citizen,Vaccination,319824,1761,1254,71.21,2.8
4445,Asthma,Sangrur,Sangrur Health Centre,Young Adult,Physiotherapy,83354,4414,3374,76.44,4.2
4446,Typhoid,Mohali,Mohali Health Centre,Teenager,Chemotherapy,265724,1497,1088,72.68,3.3
4447,Hypertension,Rupnagar,Rupnagar Health Centre,Child,Chemotherapy,429627,1929,1891,98.03,3.7
4448,Diabetes,Malerkotla,Malerkotla City Hospital,Middle Age,Counselling,168679,1217,1065,87.51,3.0
4449,COVID-19,Ludhiana,Ludhiana Multicare Hospital,Adult,Medication,145036,1668,1195,71.64,3.1
4450,Hypertension,Hoshiarpur,Hoshiarpur Life Care Centre,Senior Citizen,ICU Care,470167,4265,2990,70.11,3.8
4451,Cancer,Moga,Moga Prime Healthcare,Child,Physiotherapy,193768,4038,3543,87.74,4.1
4452,Typhoid,Amritsar,Amritsar Life Care Centre,Teenager,Emergency Care,57967,4903,4013,81.85,4.5
4453,Arthritis,Tarn Taran,Tarn Taran Multicare Hospital,Senior Citizen,Surgery,255357,3498,3268,93.42,4.1
4454,Thyroid Disorder,Kapurthala,Kapurthala City Hospital,Senior Citizen,Vaccination,160080,3077,2576,83.72,3.3
4455,Hypertension,Malerkotla,Malerkotla Health Centre,Young Adult,Emergency Care,354012,4468,4301,96.26,3.1
4456,Dengue,Nawanshahr,Nawanshahr Health Centre,Young Adult,Medication,174454,1739,1191,68.49,4.1
4457,Cancer,Mansa,Mansa Health Centre,Middle Age,Vaccination,278885,4386,3373,76.9,4.0
4458,Kidney Disease,Gurdaspur,Gurdaspur Health Centre,Middle Age,Chemotherapy,338268,4737,2919,61.62,3.1
4459,Thyroid Disorder,Mansa,Mansa Prime Hospital,Senior Citizen,ICU Care,457202,1833,1792,97.76,3.0
4460,Diabetes,Abohar,Abohar Multicare Hospital,Teenager,Physiotherapy,54599,4914,3992,81.24,3.4
4461,Tuberculosis,Rupnagar,Rupnagar Prime Hospital,Young Adult,Surgery,362006,294,192,65.31,3.3
4462,Dengue,Barnala,Barnala Prime Hospital,Senior Citizen,ICU Care,217224,351,313,89.17,4.1
4463,Typhoid,Pathankot,Pathankot Multicare Hospital,Adult,Emergency Care,54084,2489,2341,94.05,3.9
4464,Asthma,Khanna,Khanna Prime Healthcare,Teenager,ICU Care,310961,2985,1973,66.1,4.7
4465,Kidney Disease,Amritsar,Amritsar Prime Healthcare,Young Adult,Physiotherapy,167749,1251,1188,94.96,3.7
4466,Hypertension,Mohali,Mohali Advanced Hospital,Young Adult,Dialysis,301736,3330,2493,74.86,4.8
4467,Asthma,Mansa,Mansa Multicare Hospital,Middle Age,Vaccination,124460,4937,4198,85.03,3.1
4468,Pneumonia,Faridkot,Faridkot Life Care Centre,Child,Chemotherapy,296677,4661,3508,75.26,3.3
4469,Dengue,Malerkotla,Malerkotla Multicare Hospital,Young Adult,Vaccination,413260,3064,2244,73.24,2.7
4470,Asthma,Ludhiana,Ludhiana Advanced Medical Centre,Child,Medication,83442,795,485,61.01,4.2
4471,Asthma,Malerkotla,Malerkotla Prime Healthcare,Adult,Vaccination,121102,1424,1213,85.18,4.3
4472,Asthma,Khanna,Khanna Prime Healthcare,Senior Citizen,Physiotherapy,94135,1725,1326,76.87,4.8
4473,Liver Disease,Mansa,Mansa Multicare Hospital,Teenager,Counselling,39242,3540,3491,98.62,3.5
4474,Diabetes,Patiala,Patiala City Hospital,Middle Age,Medication,163525,4545,3790,83.39,3.6
4475,COVID-19,Malerkotla,Malerkotla City Hospital,Adult,Chemotherapy,455288,1313,1210,92.16,3.3
4476,Cancer,Mansa,Mansa Health Centre,Adult,ICU Care,192382,3024,2386,78.9,2.7
4477,Arthritis,Sangrur,Sangrur City Hospital,Middle Age,Medication,319294,1670,1509,90.36,2.7
4478,Thyroid Disorder,Sangrur,Sangrur Multicare Hospital,Senior Citizen,Dialysis,339758,4631,2998,64.74,2.5
4479,Malaria,Moga,Moga Prime Healthcare,Teenager,Radiotherapy,224397,3616,3345,92.51,4.6
4480,Arthritis,Gurdaspur,Gurdaspur Prime Healthcare,Teenager,Chemotherapy,287885,3658,3318,90.71,4.7
4481,Heart Disease,Malerkotla,Malerkotla Multicare Hospital,Middle Age,Counselling,20725,2767,2456,88.76,3.6
4482,Typhoid,Jalandhar,Jalandhar Prime Hospital,Middle Age,Radiotherapy,393051,3731,3144,84.27,2.7
4483,Typhoid,Fazilka,Fazilka Health Centre,Young Adult,Chemotherapy,432445,2212,1690,76.4,2.6
4484,Tuberculosis,Barnala,Barnala Life Care Centre,Middle Age,Chemotherapy,268907,382,330,86.39,2.9
4485,Heart Disease,Faridkot,Faridkot City Hospital,Teenager,Medication,273175,4724,4154,87.93,4.0
4486,Pneumonia,Khanna,Khanna Prime Healthcare,Adult,Counselling,340429,1404,1113,79.27,4.8
4487,Tuberculosis,Firozpur,Firozpur Health Centre,Young Adult,ICU Care,217703,4923,3628,73.69,2.9
4488,Malaria,Patiala,Patiala Multicare Hospital,Child,Dialysis,208882,313,292,93.29,3.1
4489,Diabetes,Mansa,Mansa City Hospital,Middle Age,ICU Care,28596,1766,1397,79.11,4.7
4490,Pneumonia,Sangrur,Sangrur Life Care Centre,Adult,Vaccination,5362,2504,2103,83.99,4.5
4491,Dengue,Hoshiarpur,Hoshiarpur Multicare Hospital,Young Adult,Emergency Care,149810,3814,3169,83.09,4.3
4492,Cancer,Rupnagar,Rupnagar City Hospital,Senior Citizen,Surgery,228362,714,523,73.25,2.9
4493,Arthritis,Faridkot,Faridkot City Hospital,Teenager,Counselling,432896,3368,2661,79.01,4.9
4494,COVID-19,Kapurthala,Kapurthala Prime Healthcare,Middle Age,Surgery,339744,4662,4646,99.66,4.1
4495,Hypertension,Ludhiana,Ludhiana Prime Hospital,Young Adult,ICU Care,320714,1865,1339,71.8,3.0
4496,Kidney Disease,Bathinda,Bathinda Advanced Hospital,Adult,Vaccination,5665,872,637,73.05,3.8
4497,Arthritis,Faridkot,Faridkot City Hospital,Child,Physiotherapy,312296,2824,2680,94.9,3.0
4498,Hypertension,Fazilka,Fazilka City Hospital,Child,Surgery,101657,2460,2306,93.74,3.4
4499,Kidney Disease,Mansa,Mansa City Hospital,Child,Dialysis,298043,498,396,79.52,4.4
4500,Liver Disease,Tarn Taran,Tarn Taran City Hospital,Young Adult,Counselling,302902,4788,3109,64.93,3.0
4501,Diabetes,Barnala,Barnala Multicare Hospital,Young Adult,Dialysis,68341,4765,3053,64.07,4.2
4502,Malaria,Malerkotla,Malerkotla Health Centre,Middle Age,Vaccination,284054,3638,2348,64.54,3.8
4503,Hypertension,Khanna,Khanna Prime Healthcare,Adult,Medication,286158,143,126,88.11,3.3
4504,Malaria,Bathinda,Bathinda Life Care Centre,Teenager,Physiotherapy,398852,4625,4240,91.68,4.9
4505,Typhoid,Moga,Moga City Hospital,Senior Citizen,Surgery,319658,3511,2277,64.85,2.9
4506,Asthma,Rupnagar,Rupnagar Health Centre,Teenager,Surgery,404720,1645,1273,77.39,3.9
4507,Diabetes,Mohali,Mohali Advanced Hospital,Middle Age,Radiotherapy,26678,477,340,71.28,3.7
4508,Thyroid Disorder,Khanna,Khanna City Hospital,Adult,Emergency Care,195429,4327,3734,86.3,3.4
4509,Typhoid,Bathinda,Bathinda Medical Point,Young Adult,ICU Care,8620,3233,2757,85.28,2.8
4510,Thyroid Disorder,Abohar,Abohar Health Centre,Adult,Physiotherapy,382914,318,248,77.99,4.8
4511,Malaria,Barnala,Barnala Life Care Centre,Young Adult,Surgery,230090,2655,2597,97.82,4.2
4512,Hypertension,Mohali,Mohali City Hospital,Middle Age,Vaccination,30200,569,479,84.18,2.7
4513,Malaria,Patiala,Patiala Multicare Hospital,Senior Citizen,Chemotherapy,463647,1865,1319,70.72,2.6
4514,Liver Disease,Faridkot,Faridkot Multicare Hospital,Senior Citizen,ICU Care,408170,4107,3653,88.95,4.3
4515,Dengue,Bathinda,Bathinda Health Centre,Teenager,Chemotherapy,65304,2380,2263,95.08,4.2
4516,Kidney Disease,Nawanshahr,Nawanshahr Prime Healthcare,Senior Citizen,ICU Care,372585,913,557,61.01,4.7
4517,Cancer,Abohar,Abohar Prime Hospital,Child,Counselling,404932,3364,3139,93.31,2.6
4518,Diabetes,Firozpur,Firozpur Multicare Hospital,Young Adult,Physiotherapy,51689,583,385,66.04,4.4
4519,Dengue,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Child,ICU Care,69198,3367,2581,76.66,4.4
4520,Pneumonia,Abohar,Abohar City Hospital,Young Adult,Vaccination,445315,398,376,94.47,4.3
4521,Thyroid Disorder,Abohar,Abohar Prime Hospital,Child,Radiotherapy,24996,4570,4463,97.66,3.1
4522,Tuberculosis,Sangrur,Sangrur Life Care Centre,Young Adult,Radiotherapy,301767,2936,1822,62.06,4.6
4523,Malaria,Amritsar,Amritsar Advanced Hospital,Middle Age,Medication,222039,1128,1030,91.31,4.9
4524,Dengue,Gurdaspur,Gurdaspur Multicare Hospital,Adult,Counselling,297291,1855,1813,97.74,4.0
